Data:,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
 346.2,  4057,1.442264E-002,  2324,4.130910E-003, 0.54300, 28.642
 347.8,  4480,1.512896E-002,  2556,4.315806E-003, 0.54475, 28.527
 349.4,  5023,1.664120E-002,  2862,4.740903E-003, 0.54532, 28.489
 351.0,  5347,1.781086E-002,  3040,5.063120E-003, 0.54627, 28.427
 352.6,  5323,1.871567E-002,  3011,5.293338E-003, 0.54848, 28.283
 354.1,  5082,1.962668E-002,  2873,5.547763E-003, 0.54873, 28.266
 355.7,  4454,1.859990E-002,  2504,5.228352E-003, 0.55115, 28.110
 357.3,  3676,1.671845E-002,  2063,4.691262E-003, 0.55191, 28.060
 358.9,  3337,1.588412E-002,  1869,4.448220E-003, 0.55278, 28.004
 360.5,  3352,1.599574E-002,  1869,4.459434E-003, 0.55472, 27.879
 362.0,  3558,1.612841E-002,  1970,4.465005E-003, 0.55777, 27.684
 363.6,  3908,1.713658E-002,  2169,4.755533E-003, 0.55672, 27.751
 365.2,  4254,1.841982E-002,  2353,5.094245E-003, 0.55821, 27.656
 366.8,  4382,1.960507E-002,  2426,5.426962E-003, 0.55781, 27.681
 368.3,  4228,2.003226E-002,  2334,5.529246E-003, 0.55906, 27.602
 369.9,  3925,1.996648E-002,  2155,5.481243E-003, 0.56142, 27.452
 371.5,  3601,1.956063E-002,  1982,5.383112E-003, 0.56035, 27.520
 373.0,  3358,1.865033E-002,  1846,5.126342E-003, 0.56088, 27.487
 374.6,  3478,1.873946E-002,  1905,5.132070E-003, 0.56246, 27.386
 376.2,  4172,2.061802E-002,  2290,5.658590E-003, 0.56154, 27.445
 377.7,  5108,2.276636E-002,  2795,6.228658E-003, 0.56290, 27.359
 379.3,  5510,2.386932E-002,  2996,6.489336E-003, 0.56564, 27.187
 380.8,  5206,2.277104E-002,  2834,6.197958E-003, 0.56513, 27.219
 382.4,  4697,2.060104E-002,  2553,5.598729E-003, 0.56580, 27.177
 384.0,  4586,1.889432E-002,  2491,5.131460E-003, 0.56609, 27.159
 385.5,  5174,1.972329E-002,  2813,5.361578E-003, 0.56569, 27.184
 387.1,  5568,2.114170E-002,  3027,5.746760E-003, 0.56572, 27.182
 388.6,  5606,2.244642E-002,  3046,6.098092E-003, 0.56595, 27.167
 390.2,  5702,2.454141E-002,  3090,6.649680E-003, 0.56710, 27.096
 391.7,  5539,2.500859E-002,  3000,6.772500E-003, 0.56734, 27.081
 393.3,  5051,2.264363E-002,  2724,6.105846E-003, 0.56920, 26.965
