Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
346.2,  2891,0.01027751,  2988,1.062234E-002,-0.01433,103.355
347.8,  3211,0.01084355,  3297,1.113397E-002,-0.01148,102.678
349.4,  3598,0.01192017,  3708,1.228460E-002,-0.01308,103.057
351.0,  3826,0.01274441,  3936,1.311082E-002,-0.01231,102.875
352.6,  3822,0.01343815,  3934,1.383194E-002,-0.01254,102.930
354.1,  3656,0.01411947,  3753,1.449409E-002,-0.01137,102.653
355.7,  3205,0.01338408,  3290,1.373904E-002,-0.01137,102.652
357.3,  2656,0.01207949,  2729,1.241149E-002,-0.01178,102.748
358.9,  2418,0.01150968,  2486,1.183336E-002,-0.01204,102.812
360.5,  2422,0.01155778,  2498,1.192046E-002,-0.01342,103.138
362.0,  2571,0.01165434,  2651,1.201698E-002,-0.01331,103.112
363.6,  2832,0.01241832,  2918,1.279543E-002,-0.01299,103.037
365.2,  3090,0.0133797,  3178,1.376074E-002,-0.01220,102.848
366.8,  3176,0.01420942,  3270,1.462998E-002,-0.01267,102.960
368.3,  3076,0.01457409,  3164,1.499103E-002,-0.01225,102.861
369.9,  2861,0.01455391,  2932,1.491508E-002,-0.01065,102.482
371.5,  2628,0.0142753,  2706,1.469899E-002,-0.01270,102.968
373.0,  2451,0.01361285,  2519,1.399053E-002,-0.01188,102.774
374.6,  2553,0.01375556,  2619,1.411117E-002,-0.01108,102.585
376.2,  3074,0.01519171,  3154,1.558707E-002,-0.01116,102.602
377.7,  3749,0.01670929,  3847,1.714608E-002,-0.01121,102.614
379.3,  4035,0.01747962,  4147,1.796480E-002,-0.01189,102.776
380.8,  3805,0.01664307,  3904,1.707610E-002,-0.01116,102.602
382.4,  3439,0.01508345,  3534,1.550012E-002,-0.01183,102.762
384.0,  3359,0.01383908,  3445,1.419340E-002,-0.01098,102.560
385.5,  3787,0.01443604,  3897,1.485536E-002,-0.01244,102.905
387.1,  4087,0.01551834,  4194,1.592462E-002,-0.01122,102.618
388.6,  4118,0.01648847,  4236,1.696094E-002,-0.01227,102.865
390.2,  4201,0.0180811,  4308,1.854163E-002,-0.01092,102.547
391.7,  4083,0.01843475,  4177,1.885916E-002,-0.00989,102.302
393.3,  3730,0.01672159,  3818,1.711609E-002,-0.01013,102.359
394.9,  3872,0.01620045,  3968,1.660211E-002,-0.01064,102.479
396.4,  4317,0.01641755,  4425,1.682828E-002,-0.01073,102.502
397.9,  5124,0.01737548,  5242,1.777562E-002,-0.00989,102.303
399.5,  6734,0.02062624,  6902,2.114083E-002,-0.01070,102.495
401.0,  8435,0.02346617,  8634,2.401979E-002,-0.01013,102.359
402.6,  9715,0.02536587,  9948,2.597423E-002,-0.01029,102.398
404.1, 10525,0.0267335, 10772,2.736088E-002,-0.01007,102.347
405.7, 10763,0.02761786, 11015,2.826449E-002,-0.01005,102.341
407.2, 10551,0.02813952, 10802,2.880893E-002,-0.01021,102.379
408.8, 10140,0.02843256, 10376,2.909430E-002,-0.00999,102.327
410.3,  9563,0.02832561,  9788,2.899206E-002,-0.01010,102.353
411.8,  9046,0.02812401,  9247,2.874892E-002,-0.00954,102.222
413.4,  8857,0.02835126,  9067,2.902347E-002,-0.01018,102.371
414.9,  8732,0.02802972,  8939,2.869419E-002,-0.01018,102.371
416.4,  8942,0.02750559,  9154,2.815770E-002,-0.01018,102.371
418.0,  9629,0.02695157,  9862,2.760374E-002,-0.01038,102.420
419.5, 10519,0.02667618, 10766,2.730258E-002,-0.01008,102.348
421.1, 11559,0.02685156, 11835,2.749271E-002,-0.01025,102.388
422.6, 12504,0.02673355, 12806,2.737923E-002,-0.01036,102.415
424.1, 13182,0.02668037, 13493,2.730983E-002,-0.01013,102.359
425.6, 13492,0.02697051, 13813,2.761219E-002,-0.01021,102.379
427.2, 13245,0.02695358, 13545,2.756408E-002,-0.00973,102.265
428.7, 12493,0.02629777, 12789,2.692085E-002,-0.01017,102.369
430.2, 11358,0.02494217, 11625,2.552850E-002,-0.01009,102.351
431.8, 10763,0.0247549, 11002,2.530460E-002,-0.00954,102.221
433.3, 10839,0.0257643, 11097,2.637757E-002,-0.01022,102.380
434.8, 10866,0.02623052, 11113,2.682678E-002,-0.00976,102.273
436.4, 11014,0.02670895, 11274,2.733945E-002,-0.01013,102.361
437.9, 11086,0.02655097, 11354,2.719283E-002,-0.01037,102.417
439.4, 11170,0.02600376, 11436,2.662301E-002,-0.01022,102.381
440.9, 11786,0.02636528, 12071,2.700283E-002,-0.01038,102.418
442.4, 12628,0.02703655, 12932,2.768741E-002,-0.01033,102.407
444.0, 13473,0.0274445, 13793,2.809634E-002,-0.01019,102.375
445.5, 14328,0.02730917, 14661,2.794387E-002,-0.00998,102.324
447.0, 15467,0.02763953, 15836,2.829893E-002,-0.01024,102.386
448.5, 16634,0.02864375, 17011,2.929294E-002,-0.00973,102.266
450.0, 17429,0.0297513, 17832,3.043922E-002,-0.00993,102.312
451.5, 17602,0.03027544, 18022,3.099784E-002,-0.01024,102.386
453.1, 17155,0.03010703, 17559,3.081605E-002,-0.01011,102.355
454.6, 16519,0.02971768, 16912,3.042469E-002,-0.01021,102.379
456.1, 16167,0.02992512, 16546,3.062665E-002,-0.01006,102.344
457.6, 15814,0.02995172, 16195,3.067333E-002,-0.01034,102.409
459.1, 15424,0.02966035, 15787,3.035840E-002,-0.01010,102.353
460.6, 15149,0.0294951, 15507,3.019213E-002,-0.01014,102.363
462.1, 14776,0.0299805, 15127,3.069268E-002,-0.01020,102.375
463.6, 13479,0.030166, 13799,3.088216E-002,-0.01019,102.374
465.1, 11915,0.02863175, 12203,2.932381E-002,-0.01037,102.417
466.6, 11888,0.0264508, 12167,2.707158E-002,-0.01007,102.347
468.2, 13684,0.02623223, 14014,2.686484E-002,-0.01035,102.412
469.7, 15801,0.02664049, 16172,2.726599E-002,-0.01008,102.348
471.2, 17328,0.02699702, 17737,2.763425E-002,-0.01013,102.360
472.7, 18169,0.02723533, 18609,2.789489E-002,-0.01039,102.422
474.2, 18677,0.02738048, 19119,2.802845E-002,-0.01016,102.367
475.7, 18840,0.02728032, 19300,2.794640E-002,-0.01048,102.442
477.2, 18895,0.02741665, 19354,2.808265E-002,-0.01042,102.429
478.7, 18735,0.02769033, 19183,2.835247E-002,-0.01026,102.391
480.2, 18290,0.02791054, 18733,2.858656E-002,-0.01039,102.422
481.7, 17637,0.02795465, 18061,2.862669E-002,-0.01032,102.404
483.2, 16859,0.0277162, 17262,2.837873E-002,-0.01026,102.390
484.7, 15859,0.02688101, 16244,2.753358E-002,-0.01042,102.428
486.2, 14760,0.02556432, 15119,2.618611E-002,-0.01044,102.432
487.7, 14137,0.02473975, 14478,2.533650E-002,-0.01035,102.412
489.2, 14304,0.0250177, 14644,2.561236E-002,-0.01020,102.377
490.6, 14527,0.02503002, 14876,2.563135E-002,-0.01031,102.402
492.1, 14728,0.02475777, 15084,2.535620E-002,-0.01037,102.417
493.6, 15079,0.02445814, 15425,2.501935E-002,-0.00985,102.295
495.1, 15732,0.0244318, 16110,2.501883E-002,-0.01031,102.403
496.6, 16451,0.02439683, 16840,2.497372E-002,-0.01015,102.365
498.1, 17042,0.0241826, 17446,2.475587E-002,-0.01018,102.371
499.6, 17466,0.02396335, 17880,2.453136E-002,-0.01017,102.370
501.1, 17633,0.02373402, 18058,2.430607E-002,-0.01034,102.410
502.6, 17627,0.02367306, 18049,2.423981E-002,-0.01027,102.394
504.1, 17577,0.02385199, 18003,2.443007E-002,-0.01040,102.424
505.5, 17529,0.0241199, 17942,2.468819E-002,-0.01011,102.356
507.0, 17401,0.02423959, 17820,2.482326E-002,-0.01033,102.408
508.5, 17197,0.02424777, 17600,2.481600E-002,-0.01006,102.343
510.0, 16891,0.02427237, 17290,2.484573E-002,-0.01014,102.362
511.5, 16472,0.02431267, 16858,2.488241E-002,-0.01006,102.343
513.0, 15811,0.02404853, 16185,2.461739E-002,-0.01015,102.365
514.4, 15093,0.02357527, 15444,2.412353E-002,-0.00998,102.326
515.9, 14312,0.02288489, 14647,2.342055E-002,-0.01005,102.341
517.4, 13565,0.02205669, 13877,2.256400E-002,-0.00988,102.300
518.9, 13142,0.02159231, 13452,2.210164E-002,-0.01013,102.359
520.4, 13227,0.02186423, 13544,2.238823E-002,-0.01029,102.397
521.8, 13349,0.0220926, 13665,2.261558E-002,-0.01016,102.367
523.3, 13414,0.022227, 13727,2.274564E-002,-0.01002,102.333
524.8, 13440,0.02236416, 13761,2.289830E-002,-0.01025,102.388
526.2, 13171,0.02215362, 13486,2.268345E-002,-0.01026,102.392
527.7, 12815,0.02193928, 13126,2.247171E-002,-0.01041,102.427
529.2, 12796,0.02209869, 13091,2.260816E-002,-0.00990,102.305
530.7, 13152,0.02227949, 13461,2.280293E-002,-0.01009,102.349
532.1, 13640,0.0219604, 13963,2.248043E-002,-0.01016,102.368
533.6, 14362,0.02175843, 14701,2.227202E-002,-0.01013,102.360
535.1, 15247,0.02190994, 15606,2.242582E-002,-0.01011,102.355
536.5, 15933,0.02197161, 16302,2.248046E-002,-0.00994,102.316
538.0, 16328,0.02191218, 16704,2.241677E-002,-0.00989,102.303
539.5, 16429,0.02170271, 16807,2.220205E-002,-0.00988,102.301
540.9, 16373,0.0215305, 16751,2.202757E-002,-0.00991,102.309
542.4, 16284,0.02156002, 16651,2.204592E-002,-0.00968,102.254
543.9, 16207,0.02178221, 16578,2.228083E-002,-0.00983,102.289
545.3, 15952,0.02191805, 16320,2.242368E-002,-0.00991,102.307
546.8, 15528,0.02194106, 15876,2.243279E-002,-0.00963,102.241
548.2, 15057,0.02189288, 15400,2.239160E-002,-0.00978,102.278
549.7, 14616,0.02186554, 14951,2.236670E-002,-0.00984,102.292
551.2, 14238,0.02188381, 14552,2.236642E-002,-0.00947,102.205
552.6, 13841,0.02173037, 14165,2.223905E-002,-0.01005,102.341
554.1, 13575,0.02167928, 13893,2.218712E-002,-0.01006,102.343
555.5, 13348,0.02154367, 13658,2.204401E-002,-0.00997,102.322
557.0, 13113,0.02126929, 13419,2.176562E-002,-0.01002,102.334
558.5, 12869,0.02087352, 13167,2.135687E-002,-0.00994,102.316
559.9, 12821,0.02065463, 13121,2.113793E-002,-0.01005,102.340
561.4, 12923,0.02057342, 13223,2.105102E-002,-0.00997,102.321
562.8, 13113,0.0205743, 13418,2.105284E-002,-0.00999,102.326
564.3, 13297,0.02051727, 13599,2.098326E-002,-0.00975,102.271
565.7, 13448,0.02037372, 13754,2.083731E-002,-0.00977,102.275
567.2, 13644,0.02030227, 13960,2.077248E-002,-0.00994,102.316
568.6, 13868,0.02026115, 14187,2.072721E-002,-0.00988,102.300
570.1, 13973,0.0200792, 14308,2.056060E-002,-0.01029,102.397
571.5, 14204,0.02005605, 14537,2.052624E-002,-0.01006,102.344
573.0, 14505,0.02019096, 14843,2.066146E-002,-0.01000,102.330
574.4, 14731,0.02026986, 15081,2.075146E-002,-0.01020,102.376
575.8, 14770,0.0202349, 15122,2.071714E-002,-0.01023,102.383
577.3, 14668,0.02019784, 15024,2.068805E-002,-0.01041,102.427
